##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/09/26
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;cteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;koi&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),KOI,SC,
2851100,Kepler,1104,1,0.8901084,0.0000009,54965.364973,0.046455,0.0007,-1.0000,0.0522,-1.0000,1.0000,0.46,291.1707,38.0086,70.5117,10.3362,15.7230,4600.0000,4696.0000,4650.0000,True,False,
2851474,Kepler,-1,1,2.7682927,0.0000046,54965.526650,0.157163,0.0047,0.0044,0.2338,0.2679,0.5084,0.95,291.2491,38.0427,70.5708,10.2962,12.6240,8354.0000,-9999.0000,-9999.0000,False,False,
2852560,Kepler,-1,1,11.9613082,0.0000376,54964.912445,0.028009,0.2868,0.1890,0.0135,0.0224,0.7143,0.09,291.4660,38.0050,70.6142,10.1265,15.3080,5381.0000,5571.0000,5440.0000,False,False,
2854432,Kepler,-1,1,0.3223256,0.0000002,54964.880329,0.019925,0.1429,0.1322,0.1938,0.2000,0.5056,0.93,291.8666,38.0855,70.8313,9.8809,14.9220,5103.0000,5323.0000,5112.0000,False,False,
2854752,Kepler,-1,1,0.4704329,0.0000003,54964.893006,0.031989,0.1810,0.1138,0.1619,0.1766,0.5094,0.79,291.9357,38.0063,70.7846,9.7966,13.9900,7073.0000,-9999.0000,7066.0000,False,False,
2854948,Kepler,3786,1,0.9743044,0.0000013,55002.410212,0.013870,0.0332,-1.0000,0.0709,-1.0000,1.0000,0.50,291.9842,38.0884,70.8764,9.7997,15.7830,5466.0000,-1.0000,-1.0000,True,False,
2856960,Kepler,-1,2,0.2585073,0.0000001,54964.658506,0.007310,0.0088,0.0098,0.1357,0.1284,0.5042,0.64,292.3813,38.0767,71.0098,9.5159,15.6150,4733.0000,4894.0000,5128.0000,False,True,
2856960,Kepler,-1,2,204.2558794,0.0019230,54997.652563,0.369952,0.0188,-1.0000,0.0069,-1.0000,1.0000,0.04,292.3813,38.0767,71.0098,9.5159,15.6150,4733.0000,4894.0000,5128.0000,False,True,
2858322,Kepler,-1,1,0.4363999,0.0000003,54964.659801,0.071035,0.1265,0.0731,0.1628,0.1111,0.5100,0.77,292.6746,38.0648,71.1062,9.3052,14.7510,5605.0000,5761.0000,6067.0000,False,False,
2860594,Kepler,-1,1,5.4999446,0.0000122,54960.317741,0.085050,0.0571,0.0178,0.0784,0.0744,0.5008,0.52,293.1650,38.0691,71.2902,8.9645,13.3700,6684.0000,6933.0000,6971.0000,False,False,
