KIC,period,class
3232823,0.42390690000000003,ev
3240159,82.13765490000002,fl
3240706,5.489865099999999,fl
3240976,15.238869099999999,hb
3241344,3.9126782999999996,sp
3241619,1.7033444,sp
3245776,1.4920589,ev
3247294,67.4188276,fl
3248019,2.6682217,sp
3248332,7.363606599999999,sp?
3323289,33.693201200000004,sp
3327980,4.2310217,ev
3335816,7.4220063,sp
3338660,1.8733805000000001,ev
3339538,14.6580139,sp
3339563,0.8412315,ev
3340313,30.5537,fl
3341934,18.8394967,sp?
3342425,0.39341479999999995,ev
3342592,17.177326100000002,fl
3344427,0.6517851,sp
3345675,120.00401029999999,fl
3347485,7.5448413,ev
3348093,7.96442,sp
3351945,1.0805381,sp
3352751,3.4954552000000003,ev
3353233,0.3157777,ev
3354616,0.27698259999999997,ot
3427776,4.0166817,sp
3428468,114.90867959999999,fl
3431321,1.0150487,ev
3433668,15.0217983,sp
3437778,0.6355819,ev
3437800,0.3626791,ev
3438975,2.9760959,fl
3439031,5.9520263,ev
3439180,0.3250651,ev
3440230,2.8811009999999997,ev
3441784,52.5687259,pu?
3442054,117.68138200000001,sp?
3443519,0.353627,ev
3443790,1.6657838,sp
3448245,0.51349,ev
3449540,3.2120062000000003,sp
3454864,0.2941204,ev
3458919,0.8920610000000001,sp
3459199,3.1410343,sp
3530668,1.9462005,sp
3534118,178.4135574,fl
3542573,6.9427958,sp
3543270,4.176929400000001,sp
3544694,3.8457,sp
3545476,0.3176886,ev
3547091,3.3055782,sp
3547111,1.2078358999999999,ev
3547315,1.2847,sp
3547874,19.692172199999998,hb
3549994,0.3471816,ev
3556229,0.7967201999999999,ev
3557421,0.3937276,ev
3558822,1.3534207,ev
3558981,2.9878584999999998,sp
3560212,0.3460643,ev
3633901,0.807387,ev
3641446,2.1000143,ev
3644542,119.6797949,fl
3654950,8.1347246,sp
3655326,15.066503400000002,fl
3656322,3.6636036,sp
3659940,0.8962698,sp
3662635,0.9393754999999999,sp
3729724,16.4187555,hb
3730067,0.29407859999999997,ev
3732732,0.3961872,ev
3734660,19.9421366,hb
3734868,10.328036,sp
3735597,1.9663556,ev
3735629,9.3283461,sp
3743834,0.2736148,ev
3745184,0.30423279999999997,ev
3749404,20.306385199999998,hb
3749508,1.0657337,sp
3756730,0.3791639,ev
3757588,24.089980899999997,sp
3757590,135.58606980000002,fl
3757778,36.5143967,fl
3761175,5.1623434,ev
3764714,6.6332758,hb
3765708,0.43141890000000005,ev
3765771,5.5677174,fl
3766353,2.6669647999999997,hb
3830820,15.582788,sp?
3832382,0.2726487,ev
3833859,0.4317433,ev
3834322,0.996858,sp
3834364,2.9084548999999997,sp
3836439,1.5403954,ev
3836522,1.5403797,fl
3837677,0.46198409999999995,ev
3838496,5.9803964999999994,sp
3839964,0.2561499,ev
3848042,0.4114527,ev
3848919,1.0472603,sp
3848972,0.7410574000000001,sp?
3849155,1.1683132999999999,fl
3850086,19.1142466,ot
3851193,1.3410787,ev
3851320,1.2385693000000002,ev
