KIC	T1	e_T1	T2	e_T2	R1/D	e_R1/D	R2/R1	e_R2/R1	T2/T1	Qual	Src	KIS	T1j	T2j	R2/R1j	T1k1	T2k1	R2/R1k1	Simbad	_RA	_DE
 6365321	 5787	  379	 5754	  681	 1.64e-11	 2.17e-12	 0.682	 0.255	 0.700	00010	1100	1	 5736	 5764	 0.784	 5884	 5722	 0.612	Simbad	292.236790	+41.739300
 6367628	 5509	  353	 4418	  622	 5.15e-11	 3.27e-12	 0.813	 0.199	 0.788	00000	1100	1	 5501	 4553	 0.328	 5966	 4267	 1.245	Simbad	292.985260	+41.716888
 6368316	 5844	  355	 5528	  554	 1.75e-11	 1.93e-12	 0.772	 0.197	 0.950	00000	1111	3	 5697	 5412	 0.835	 5958	 5595	 0.917	Simbad	293.187870	+41.728081
 6370361	 6664	  363	 6591	  559	 2.79e-11	 2.69e-12	 0.955	 0.217	 0.987	00000	1110	2	 6646	 6595	 0.833	 8892	 6567	 1.669	Simbad	293.800380	+41.773129
 6370558	 6548	  555	 6181	 1135	 4.93e-11	 8.72e-12	 0.863	 0.400	 0.700	11010	1000	2	 6548	 6181	 0.863	 6752	 6540	 0.645	Simbad	293.864410	+41.716911
 6370665	 9155	  374	 3564	  541	 1.50e-11	 1.80e-12	 1.771	 0.153	 0.977	00100	1110	2	 9092	 3537	 1.779	10692	 6909	 1.705	Simbad	293.895660	+41.760078
 6387193	 5597	  358	 5629	  709	 2.16e-11	 2.50e-12	 0.594	 0.267	 0.700	00010	1100	1	 5566	 5566	 0.552	 5679	 5676	 0.639	Simbad	298.031980	+41.716560
 6387450	 5369	  351	 3664	  551	 3.39e-11	 1.72e-12	 0.301	 0.177	 0.609	00000	1100	1	 5349	 3658	 0.262	 5449	 3671	 0.365	Simbad	298.091710	+41.794128
 6390205	10541	  603	 7582	  609	 2.27e-11	 2.65e-12	 1.409	 0.208	 0.888	00000	1000	1	10541	 7582	 1.409	 9191	 8175	 0.665	Simbad	298.664640	+41.780010
 6390824	 6336	  364	 4274	  680	 1.49e-11	 1.82e-12	 0.797	 0.204	 0.700	00010	1100	1	 6347	 4035	 0.822	 6175	 5852	 0.690	Simbad	298.794980	+41.759769
 6421188	 6193	  547	 4182	  547	 2.61e-11	 1.05e-09	 0.788	 0.151	 0.462	00001	1110	2	 6200	 4281	 0.795	 5576	 4085	 0.771	Simbad	282.906040	+41.831841
 6421483	 5274	  378	 5060	  727	 5.48e-11	 5.03e-12	 0.704	 0.248	 0.700	00010	1100	1	 5297	 5091	 0.654	 5252	 5043	 0.771	Simbad	283.045100	+41.860062
 6424124	 5906	  365	 5884	  581	 2.71e-11	 2.86e-12	 0.753	 0.248	 0.996	00000	1100	1	 5880	 5822	 0.679	 5938	 5917	 0.866	Simbad	284.341090	+41.838699
 6426592	 6023	  404	 4761	  708	 1.64e-11	 2.05e-12	 0.779	 0.225	 0.700	00010	1100	1	 5881	 5191	 0.686	 6198	 4552	 0.855	Simbad	285.601620	+41.817532
 6431545	 5748	  356	 5853	  587	 3.29e-11	 2.81e-12	 0.596	 0.226	 1.021	00000	1100	1	 5760	 5997	 0.537	 5731	 5824	 0.714	Simbad	287.828670	+41.804939
 6431670	 5220	  352	 5141	  551	 1.36e-11	 1.92e-12	 0.674	 0.230	 0.969	00000	1110	2	 5217	 5157	 0.754	 5228	 5127	 0.600	Simbad	287.884830	+41.879349
 6432059	 5564	  365	 5450	  773	 2.23e-11	 2.17e-12	 0.528	 0.223	 0.700	00010	1100	1	 5496	 5474	 0.603	 5632	 5423	 0.493	Simbad	288.039890	+41.818359
 6436038	 5835	  364	 5790	  587	 1.66e-11	 2.03e-12	 0.676	 0.225	 0.984	00000	1100	1	 5987	 5868	 0.748	 5790	 5721	 0.597	Simbad	289.542180	+41.890362
 6443392	 6619	  351	 5768	  541	 4.87e-11	 2.04e-12	 0.830	 0.160	 0.871	11001	1100	1	 6591	 5739	 0.788	 6651	 5799	 0.899	Simbad	291.992980	+41.884125
 6443538	 7042	  387	 6215	 1061	 2.48e-11	 2.16e-12	 0.586	 0.207	 0.700	11010	1110	2	 6981	 6038	 0.625	 7187	 6228	 0.685	Simbad	292.053160	+41.837109
 6446219	 6819	  420	 6590	  776	 2.06e-11	 2.73e-12	 0.721	 0.281	 0.979	00000	0100	1	 6651	 6410	 0.943	 6819	 6590	 0.721	Simbad	292.923830	+41.884289
